trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
261,False,"{'a': 0.01, 'e': 0.0735345437630571}",25,0,39.83984609808175,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
262,False,"{'a': 0.01, 'e': 0.07280286282743559}",25,9,19.773682992769274,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.01, 'e': 0.0720784622387661}",20,5,25.8469978430142,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.01, 'e': 0.07136126955638605}",20,10,-24.20093901135392,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
265,False,"{'a': 0.01, 'e': 0.0706512130604296}",30,19,23.873723579133582,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.01, 'e': 0.06994822174465536}",20,9,22.545505573989647,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.01, 'e': 0.069252225309346}",25,18,13.408646508217824,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.01, 'e': 0.06856315415427791}",20,9,19.777112053467327,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.01, 'e': 0.06788093937176144}",30,13,28.128424234247845,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.01, 'e': 0.06720551273974976}",20,2,26.148418701532968,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.01, 'e': 0.06653680671501686}",30,1,35.76608629759923,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.01, 'e': 0.06587475442640295}",25,7,30.395101649369927,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.01, 'e': 0.06521928966812753}",20,7,28.15182498539029,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.01, 'e': 0.06457034689316847}",20,2,34.58627367661395,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.01, 'e': 0.06392786120670757}",20,0,25.71231208438038,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
276,False,"{'a': 0.01, 'e': 0.0632917683596407}",30,18,21.372721922620034,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
